No,date,TimeBarStart,year,month,day,hour,minute,ticker,call,strike,expiration_date,option_price,underlying_price,moneyness,days_to_ex,std_underlying,treasury_rate
2445,20220210,11:16:00 AM,2022,2,10,11,16,SPY,C,500,6/17/2022,2.54,455.515,0.91103,91,0.00143968,0.41
2446,20220210,11:21:00 AM,2022,2,10,11,21,SPY,C,500,6/17/2022,2.48,454.81,0.90962,91,0.001438801,0.41
2447,20220210,11:47:00 AM,2022,2,10,11,47,SPY,C,500,6/17/2022,2.63,456.06,0.91212,91,0.002054825,0.41
2448,20220210,11:55:00 AM,2022,2,10,11,55,SPY,C,500,6/17/2022,2.61,456.005,0.91201,91,0.001832837,0.41
2449,20220210,12:18:00 PM,2022,2,10,12,18,SPY,C,500,6/17/2022,2.63,456.155,0.91231,91,0.001721867,0.41
2450,20220210,12:32:00 PM,2022,2,10,12,32,SPY,C,500,6/17/2022,2.62,456.075,0.91215,91,0.001565103,0.41
2451,20220210,12:33:00 PM,2022,2,10,12,33,SPY,C,500,6/17/2022,2.57,455.685,0.91137,91,0.001387116,0.41
2452,20220210,12:36:00 PM,2022,2,10,12,36,SPY,C,500,6/17/2022,2.59,455.78,0.91156,91,0.000461758,0.41
2453,20220210,12:37:00 PM,2022,2,10,12,37,SPY,C,500,6/17/2022,2.59,455.825,0.91165,91,0.000472309,0.41
2454,20220210,12:42:00 PM,2022,2,10,12,42,SPY,C,500,6/17/2022,2.62,456.175,0.91235,91,0.000592533,0.41
2455,20220210,12:45:00 PM,2022,2,10,12,45,SPY,C,500,6/17/2022,2.5,454.78,0.90956,91,0.001509523,0.41
2456,20220210,12:49:00 PM,2022,2,10,12,49,SPY,C,500,6/17/2022,2.35,453.465,0.90693,91,0.001844116,0.41
2457,20220210,12:54:00 PM,2022,2,10,12,54,SPY,C,500,6/17/2022,2.4,453.565,0.90713,91,0.001846055,0.41
2458,20220210,12:56:00 PM,2022,2,10,12,56,SPY,C,500,6/17/2022,2.38,453.45,0.9069,91,0.001801126,0.41
2459,20220210,1:03:00 PM,2022,2,10,13,3,SPY,C,500,6/17/2022,2.4,453.7,0.9074,91,0.001748543,0.41
2460,20220210,1:07:00 PM,2022,2,10,13,7,SPY,C,500,6/17/2022,2.4,453.955,0.90791,91,0.001452372,0.41
2461,20220210,1:16:00 PM,2022,2,10,13,16,SPY,C,500,6/17/2022,2.32,452.61,0.90522,91,0.001483449,0.41
2462,20220210,1:17:00 PM,2022,2,10,13,17,SPY,C,500,6/17/2022,2.3,452.395,0.90479,91,0.001445597,0.41
